source,target,weight
0,1,0
0,2,167
0,3,0
0,4,0
0,5,10
0,6,69
0,7,0
0,8,0
0,9,9
0,10,64
0,11,23
0,12,21
0,13,0
0,14,0
0,15,43
0,16,47
0,17,0
0,18,0
0,19,18
0,20,0
0,21,86
0,22,61
0,23,151
0,24,17
0,25,6
0,26,0
0,27,98
0,28,159
0,29,0
0,30,0
0,31,5
0,32,3
0,33,10
0,34,0
0,35,0
0,36,56
1,2,1898
1,3,6
1,4,1
1,5,219
1,6,372
1,7,0
1,8,34
1,9,129
1,10,337
1,11,0
1,12,0
1,13,2
1,14,1
1,15,15
1,16,298
1,17,0
1,18,1
1,19,140
1,20,1811
1,21,263
1,22,281
1,23,1886
1,24,185
1,25,0
1,26,378
1,27,287
1,28,0
1,29,0
1,30,1
1,31,111
1,32,1
1,33,146
1,34,18
1,35,1
1,36,10
2,3,467
2,4,207
2,5,1157
2,6,1787
2,7,232
2,8,612
2,9,917
2,10,1557
2,11,156
2,12,155
2,13,877
2,14,173
2,15,1606
2,16,2362
2,17,179
2,18,458
2,19,1473
2,20,2700
2,21,1553
2,22,1631
2,23,11278
2,24,631
2,25,143
2,26,382
2,27,2298
2,28,182
2,29,214
2,30,262
2,31,951
2,32,171
2,33,1750
2,34,957
2,35,424
2,36,1364
3,4,173
3,5,6
3,6,15
3,7,0
3,8,36
3,9,14
3,10,2
3,11,0
3,12,0
3,13,13
3,14,0
3,15,377
3,16,382
3,17,162
3,18,0
3,19,13
3,20,6
3,21,13
3,22,15
3,23,464
3,24,12
3,25,0
3,26,0
3,27,14
3,28,0
3,29,0
3,30,0
3,31,12
3,32,2
3,33,129
3,34,0
3,35,15
3,36,13
4,5,0
4,6,11
4,7,0
4,8,2
4,9,0
4,10,12
4,11,0
4,12,0
4,13,1
4,14,11
4,15,190
4,16,188
4,17,95
4,18,0
4,19,0
4,20,1
4,21,11
4,22,12
4,23,204
4,24,0
4,25,0
4,26,0
4,27,11
4,28,0
4,29,0
4,30,12
4,31,0
4,32,2
4,33,0
4,34,0
4,35,1
4,36,1
5,6,1077
5,7,3
5,8,60
5,9,118
5,10,39
5,11,1
5,12,1
5,13,9
5,14,1
5,15,17
5,16,35
5,17,0
5,18,0
5,19,117
5,20,258
5,21,48
5,22,50
5,23,1120
5,24,53
5,25,0
5,26,1
5,27,48
5,28,9
5,29,0
5,30,0
5,31,110
5,32,7
5,33,113
5,34,21
5,35,3
5,36,21
6,7,3
6,8,66
6,9,57
6,10,311
6,11,20
6,12,23
6,13,18
6,14,12
6,15,153
6,16,293
6,17,0
6,18,5
6,19,55
6,20,457
6,21,421
6,22,411
6,23,1577
6,24,56
6,25,18
6,26,1
6,27,417
6,28,78
6,29,31
6,30,14
